"Name","Version","License","Author","URL"
"Django","3.1.2","BSD License","Django Software Foundation","https://www.djangoproject.com/"
"GitPython","3.1.11","BSD License","Sebastian Thiel, Michael Trier","https://github.com/gitpython-developers/GitPython"
"PyYAML","5.3.1","MIT License","Kirill Simonov","https://github.com/yaml/pyyaml"
"Pygments","2.7.2","BSD License","Georg Brandl","https://pygments.org/"
"appdirs","1.4.4","MIT License","Trent Mick","http://github.com/ActiveState/appdirs"
"asgiref","3.2.10","BSD License","Django Software Foundation","https://github.com/django/asgiref/"
"astroid","2.4.2","UNKNOWN","Python Code Quality Authority","https://github.com/PyCQA/astroid"
"attrs","20.2.0","MIT License","Hynek Schlawack","https://www.attrs.org/"
"autopep8","1.5.4","MIT License","Hideo Hattori","https://github.com/hhatto/autopep8"
"bandit","1.6.2","Apache Software License","PyCQA","https://bandit.readthedocs.io/en/latest/"
"certifi","2020.6.20","Mozilla Public License 2.0 (MPL 2.0)","Kenneth Reitz","https://certifiio.readthedocs.io/en/latest/"
"chardet","3.0.4","GNU Library or Lesser General Public License (LGPL)","Daniel Blanchard","https://github.com/chardet/chardet"
"codacy-coverage","1.3.11","MIT License","Codacy","https://github.com/codacy/python-codacy-coverage"
"codecov","2.1.10","Apache Software License","Codecov","https://github.com/codecov/codecov-python"
"coverage","5.3","Apache Software License","Ned Batchelder and 137 others","https://github.com/nedbat/coveragepy"
"coveralls","2.1.2","MIT License","coveralls-clients contributors","http://github.com/coveralls-clients/coveralls-python"
"docopt","0.6.2","MIT License","Vladimir Keleshev","http://docopt.org"
"dparse","0.5.1","MIT License","Jannis Gebauer","https://github.com/pyupio/dparse"
"flake8","3.8.4","MIT License","Tarek Ziade","https://gitlab.com/pycqa/flake8"
"gitdb","4.0.5","BSD License","Sebastian Thiel","https://github.com/gitpython-developers/gitdb"
"idna","2.10","BSD License","Kim Davies","https://github.com/kjd/idna"
"isort","5.6.4","MIT License","Timothy Crosley","https://pycqa.github.io/isort/"
"jedi","0.17.2","MIT License","David Halter","https://github.com/davidhalter/jedi"
"lazy-object-proxy","1.4.3","BSD License","Ionel Cristian Mărieș","https://github.com/ionelmc/python-lazy-object-proxy"
"mccabe","0.6.1","MIT License","Ian Cordasco","https://github.com/pycqa/mccabe"
"more-itertools","8.5.0","MIT License","Erik Rose","https://github.com/more-itertools/more-itertools"
"mypy","0.790","MIT License","Jukka Lehtosalo","http://www.mypy-lang.org/"
"mypy-extensions","0.4.3","MIT License","The mypy developers","https://github.com/python/mypy_extensions"
"packaging","20.4","Apache Software License, BSD License","Donald Stufft and individual contributors","https://github.com/pypa/packaging"
"parso","0.7.1","MIT License","David Halter","https://github.com/davidhalter/parso"
"pastel","0.2.1","MIT License","Sébastien Eustace","https://github.com/sdispater/pastel"
"pbr","5.5.1","Apache Software License","OpenStack","https://docs.openstack.org/pbr/latest/"
"pluggy","0.13.1","MIT License","Holger Krekel","https://github.com/pytest-dev/pluggy"
"poethepoet","0.9.0","MIT License","Nat Noordanus","https://github.com/nat-n/poethepoet"
"prompt-toolkit","3.0.8","BSD License","Jonathan Slenders","https://github.com/prompt-toolkit/python-prompt-toolkit"
"ptpython","3.0.7","UNKNOWN","Jonathan Slenders","https://github.com/prompt-toolkit/ptpython"
"py","1.9.0","MIT License","holger krekel, Ronny Pfannschmidt, Benjamin Peterson and others","https://py.readthedocs.io/"
"pycodestyle","2.6.0","MIT License","Johann C. Rocholl","https://pycodestyle.readthedocs.io/"
"pydocstyle","5.1.1","MIT License","Amir Rachum","https://github.com/PyCQA/pydocstyle/"
"pyflakes","2.2.0","MIT License","A lot of people","https://github.com/PyCQA/pyflakes"
"pylama","7.7.1","UNKNOWN","UNKNOWN","UNKNOWN"
"pylint","2.6.0","GNU General Public License (GPL)","Python Code Quality Authority","https://github.com/PyCQA/pylint"
"pylint-django","2.3.0","UNKNOWN","landscape.io","https://github.com/PyCQA/pylint-django"
"pylint-plugin-utils","0.6","UNKNOWN","landscape.io","https://github.com/landscapeio/pylint-plugin-utils"
"pyparsing","2.4.7","MIT License","Paul McGuire","https://github.com/pyparsing/pyparsing/"
"pytest","5.4.3","MIT License","Holger Krekel, Bruno Oliveira, Ronny Pfannschmidt, Floris Bruynooghe, Brianna Laugher, Florian Bruhin and others","https://docs.pytest.org/en/latest/"
"pytz","2020.1","MIT License","Stuart Bishop","http://pythonhosted.org/pytz"
"requests","2.24.0","Apache Software License","Kenneth Reitz","https://requests.readthedocs.io"
"riddlebase","0.1.0","UNKNOWN","Daniel Brown","UNKNOWN"
"rope","0.18.0","GNU Lesser General Public License v3 or later (LGPLv3+)","Ali Gholami Rudi","https://github.com/python-rope/rope"
"sauceclient","1.0.0","Apache Software License","Corey Goldberg","https://github.com/cgoldberg/sauceclient"
"selenium","3.141.0","Apache Software License","UNKNOWN","https://github.com/SeleniumHQ/selenium/"
"six","1.15.0","MIT License","Benjamin Peterson","https://github.com/benjaminp/six"
"smmap","3.0.4","BSD License","Sebastian Thiel","https://github.com/gitpython-developers/smmap"
"snowballstemmer","2.0.0","BSD License","Snowball Developers","https://github.com/snowballstem/snowball"
"sqlparse","0.4.1","BSD License","Andi Albrecht","https://github.com/andialbrecht/sqlparse"
"stevedore","3.2.2","Apache Software License","OpenStack","https://docs.openstack.org/stevedore/latest/"
"toml","0.10.1","MIT License","William Pearson","https://github.com/uiri/toml"
"tomlkit","0.7.0","MIT License","Sébastien Eustace","https://github.com/sdispater/tomlkit"
"typed-ast","1.4.1","UNKNOWN","David Fisher","https://github.com/python/typed_ast"
"typing-extensions","3.7.4.3","Python Software Foundation License","Guido van Rossum, Jukka Lehtosalo, Lukasz Langa, Michael Lee","https://github.com/python/typing/blob/master/typing_extensions/README.rst"
"urllib3","1.25.11","MIT License","Andrey Petrov","https://urllib3.readthedocs.io/"
"wcwidth","0.2.5","MIT License","Jeff Quast","https://github.com/jquast/wcwidth"
"wrapt","1.12.1","BSD License","Graham Dumpleton","https://github.com/GrahamDumpleton/wrapt"
